problem_id,experiment_type,iteration_0_compression_rate,iteration_1_compression_rate,iteration_2_compression_rate,iteration_3_compression_rate,iteration_4_compression_rate,seed
0,backtracking,0.08858057630736393,0.16536712150747238,0.10478654592496765,0.07186858316221766,,0
1,backtracking,0.14506172839506173,0.19310344827586207,0.17742643829600352,0.1716188524590164,,0
10,backtracking,0.032112290311537145,0.026650912432716292,0.05491791370042133,0.06364562118126273,,0
11,backtracking,0.011493736811385984,0.035080478745357,0.06836440806427165,0.07543401444154248,,0
12,backtracking,0.022299827491900535,0.02239742684553228,0.045842015533244934,0.034849854373807373,,0
13,backtracking,0.04283620786833502,0.02681992337164751,0.07477678571428571,0.10340414640389045,,0
14,backtracking,0.01240913429767237,0.01915952154123002,0.039383561643835614,0.02434912905038397,,0
15,backtracking,0.059145129224652086,0.12909632571996027,0.07921886514369934,0.06938325991189427,,0
16,backtracking,0.20304327151688065,0.28171931641636455,0.23544698544698545,0.28060886829913967,,0
17,backtracking,0.019766460326392798,0.034566172257941306,0.0315955766192733,0.031184864518197852,,0
18,backtracking,0.16012558869701726,0.1402135231316726,0.10929408558190243,0.11289803795432615,,0
19,backtracking,0.02186653223265486,0.02192852486220589,0.04354386721276137,0.06247191011235955,,0
2,backtracking,0.019208537127612273,0.015891911195762158,0.02702139483189775,0.01939233513637933,,0
20,backtracking,0.03237132825211955,0.023855057876195268,0.023971149766652523,0.025622153732922398,,0
2024-I-1,backtracking,0.10198150594451784,0.1934716082964978,0.22800925925925927,0.19266875279392043,,0
2024-I-10,backtracking,0.01962301696976397,0.03782562150588795,0.04177146963708229,0.015948566760203176,,0
2024-I-11,backtracking,0.03576751117734724,0.0314874475715762,0.024112719701738245,0.022695806962025316,,0
2024-I-12,backtracking,0.0265066427058597,0.03054550514890064,0.062199150542708824,0.031260945709281965,,0
2024-I-13,backtracking,0.03557073954983923,0.12055295791827607,0.17755572636433511,0.16684192078513846,,0
2024-I-14,backtracking,0.03424605293265197,0.08583589501064082,0.0941932031040942,0.01794834379104042,,0
2024-I-15,backtracking,0.05693106004447739,0.08626080559131874,0.0953286257468767,0.11541533546325879,,0
2024-I-2,backtracking,0.05615279048490394,0.0233131584846447,0.035963739039976225,0.13726333907056798,,0
2024-I-3,backtracking,0.07732342007434945,0.19212410501193317,0.1944216570959803,0.18620689655172415,,0
2024-I-4,backtracking,0.19978708303761533,0.19395367098547311,0.2273224043715847,0.20732797140303844,,0
2024-I-5,backtracking,0.03506311360448808,0.01779439589152176,0.01645013090945018,0.04251890417751333,,0
2024-I-6,backtracking,0.17186311787072242,0.14355979096218874,0.11485148514851486,0.23734729493891799,,0
2024-I-7,backtracking,0.06918972990997,0.10470701248799232,0.15486558121923513,0.06467753891771683,,0
2024-I-8,backtracking,0.026565683749183038,0.02926575848533826,0.04839194469492035,0.04397622906537007,,0
2024-I-9,backtracking,0.053031780074088514,0.04489648531535869,0.13936097892590074,0.07343857240905971,,0
2024-II-1,backtracking,0.08735689397710304,0.075788255713046,0.08995603652350355,0.11023310944290794,,0
2024-II-10,backtracking,0.031103286384976527,0.04245283018867924,0.07848415821080969,0.05540943363142206,,0
2024-II-11,backtracking,0.029515721826945146,0.022635957218040858,0.09791099000908265,0.08763991426530127,,0
2024-II-12,backtracking,0.050798074486952116,0.07131694843017473,0.12459210916641945,0.19122486288848264,,0
2024-II-13,backtracking,0.07582713313281621,0.042765018667270054,0.09698825931597754,0.10619696580097711,,0
