problem_id,seed,experiment_type,iteration_label,compression_rate,iteration_num,iteration_display
2024-I-12,1,backtracking,iteration_0_compression_rate,0.023418893887271766,0,Iteration 1
2024-I-13,1,backtracking,iteration_0_compression_rate,0.031766008860249696,0,Iteration 1
2024-I-14,1,backtracking,iteration_0_compression_rate,0.027835420393559927,0,Iteration 1
2024-I-15,1,backtracking,iteration_0_compression_rate,0.020042150502086863,0,Iteration 1
2024-I-2,1,backtracking,iteration_0_compression_rate,0.07902326475677754,0,Iteration 1
2024-I-3,1,backtracking,iteration_0_compression_rate,0.11973449068164412,0,Iteration 1
2024-I-4,1,backtracking,iteration_0_compression_rate,0.16289592760180996,0,Iteration 1
2024-I-5,1,backtracking,iteration_0_compression_rate,0.02656371750371892,0,Iteration 1
2024-I-6,1,backtracking,iteration_0_compression_rate,0.08463681165631026,0,Iteration 1
2024-I-7,1,backtracking,iteration_0_compression_rate,0.09009332376166547,0,Iteration 1
2024-I-8,1,backtracking,iteration_0_compression_rate,0.03174496644295302,0,Iteration 1
2024-I-9,1,backtracking,iteration_0_compression_rate,0.046597544988678345,0,Iteration 1
2024-II-1,1,backtracking,iteration_0_compression_rate,0.08456189151599444,0,Iteration 1
2024-II-10,1,backtracking,iteration_0_compression_rate,0.07108650104759054,0,Iteration 1
2024-II-11,1,backtracking,iteration_0_compression_rate,0.024301752464403067,0,Iteration 1
2024-II-12,1,backtracking,iteration_0_compression_rate,0.06317411402157165,0,Iteration 1
2024-II-13,1,backtracking,iteration_0_compression_rate,0.059001512859304085,0,Iteration 1
2024-II-14,1,backtracking,iteration_0_compression_rate,0.028119173547429703,0,Iteration 1
2024-II-15,1,backtracking,iteration_0_compression_rate,0.026404142718943834,0,Iteration 1
2024-II-2,1,backtracking,iteration_0_compression_rate,0.061094008998342414,0,Iteration 1
2024-II-3,1,backtracking,iteration_0_compression_rate,0.01187572217229426,0,Iteration 1
2024-II-4,1,backtracking,iteration_0_compression_rate,0.11220682302771855,0,Iteration 1
2024-II-5,1,backtracking,iteration_0_compression_rate,0.030788600206020374,0,Iteration 1
2024-II-6,1,backtracking,iteration_0_compression_rate,0.01959375,0,Iteration 1
2024-II-7,1,backtracking,iteration_0_compression_rate,0.07172596517789553,0,Iteration 1
2024-II-8,1,backtracking,iteration_0_compression_rate,0.025480790388593057,0,Iteration 1
2024-II-9,1,backtracking,iteration_0_compression_rate,0.030526692941597995,0,Iteration 1
21,1,backtracking,iteration_0_compression_rate,0.03814884302689181,0,Iteration 1
22,1,backtracking,iteration_0_compression_rate,0.03532949135554999,0,Iteration 1
23,1,backtracking,iteration_0_compression_rate,0.03973000683526999,0,Iteration 1
24,1,backtracking,iteration_0_compression_rate,0.03082437275985663,0,Iteration 1
25,1,backtracking,iteration_0_compression_rate,0.0235838779956427,0,Iteration 1
26,1,backtracking,iteration_0_compression_rate,0.051698670605613,0,Iteration 1
27,1,backtracking,iteration_0_compression_rate,0.017828123506356944,0,Iteration 1
28,1,backtracking,iteration_0_compression_rate,0.0404707668944571,0,Iteration 1
29,1,backtracking,iteration_0_compression_rate,0.012167050312397237,0,Iteration 1
3,1,backtracking,iteration_0_compression_rate,0.11685571089422316,0,Iteration 1
4,1,backtracking,iteration_0_compression_rate,0.03337831119948867,0,Iteration 1
5,1,backtracking,iteration_0_compression_rate,0.029089755117152376,0,Iteration 1
6,1,backtracking,iteration_0_compression_rate,0.0429484963705496,0,Iteration 1
7,1,backtracking,iteration_0_compression_rate,0.022093444404201378,0,Iteration 1
8,1,backtracking,iteration_0_compression_rate,0.11011133140155559,0,Iteration 1
9,1,backtracking,iteration_0_compression_rate,0.02027667235171499,0,Iteration 1
0,2,backtracking,iteration_0_compression_rate,0.116751269035533,0,Iteration 1
1,2,backtracking,iteration_0_compression_rate,0.11557262569832402,0,Iteration 1
10,2,backtracking,iteration_0_compression_rate,0.01934651762682717,0,Iteration 1
11,2,backtracking,iteration_0_compression_rate,0.019715639810426542,0,Iteration 1
12,2,backtracking,iteration_0_compression_rate,0.02049217407038813,0,Iteration 1
13,2,backtracking,iteration_0_compression_rate,0.044533169533169534,0,Iteration 1
14,2,backtracking,iteration_0_compression_rate,0.019624636925597676,0,Iteration 1
15,2,backtracking,iteration_0_compression_rate,0.08050632911392405,0,Iteration 1
16,2,backtracking,iteration_0_compression_rate,0.1513370555392301,0,Iteration 1
17,2,backtracking,iteration_0_compression_rate,0.02416206261510129,0,Iteration 1
18,2,backtracking,iteration_0_compression_rate,0.14507007622326037,0,Iteration 1
19,2,backtracking,iteration_0_compression_rate,0.030541444678478503,0,Iteration 1
2,2,backtracking,iteration_0_compression_rate,0.026873929653537083,0,Iteration 1
20,2,backtracking,iteration_0_compression_rate,0.024080198429102934,0,Iteration 1
2024-I-1,2,backtracking,iteration_0_compression_rate,0.0936655079181151,0,Iteration 1
2024-I-10,2,backtracking,iteration_0_compression_rate,0.05603917301414581,0,Iteration 1
2024-I-11,2,backtracking,iteration_0_compression_rate,0.017731787218553376,0,Iteration 1
2024-I-12,2,backtracking,iteration_0_compression_rate,0.03424608565096161,0,Iteration 1
2024-I-13,2,backtracking,iteration_0_compression_rate,0.03651162790697674,0,Iteration 1
2024-I-14,2,backtracking,iteration_0_compression_rate,0.04322548028311426,0,Iteration 1
2024-I-15,2,backtracking,iteration_0_compression_rate,0.03859773371104816,0,Iteration 1
2024-I-2,2,backtracking,iteration_0_compression_rate,0.05911977227939567,0,Iteration 1
2024-I-3,2,backtracking,iteration_0_compression_rate,0.05409494987705693,0,Iteration 1
2024-I-4,2,backtracking,iteration_0_compression_rate,0.2436849925705795,0,Iteration 1
2024-I-5,2,backtracking,iteration_0_compression_rate,0.022171143992721354,0,Iteration 1
2024-I-6,2,backtracking,iteration_0_compression_rate,0.08207440811724916,0,Iteration 1
2024-I-7,2,backtracking,iteration_0_compression_rate,0.09348290598290598,0,Iteration 1
2024-I-8,2,backtracking,iteration_0_compression_rate,0.029481060834893977,0,Iteration 1
2024-I-9,2,backtracking,iteration_0_compression_rate,0.040595238095238094,0,Iteration 1
2024-II-1,2,backtracking,iteration_0_compression_rate,0.05908683974932856,0,Iteration 1
2024-II-10,2,backtracking,iteration_0_compression_rate,0.024742676167854315,0,Iteration 1
2024-II-11,2,backtracking,iteration_0_compression_rate,0.022936763129689175,0,Iteration 1
2024-II-12,2,backtracking,iteration_0_compression_rate,0.055419151175026306,0,Iteration 1
2024-II-13,2,backtracking,iteration_0_compression_rate,0.07390120575651497,0,Iteration 1
2024-II-14,2,backtracking,iteration_0_compression_rate,0.027624820693165516,0,Iteration 1
2024-II-15,2,backtracking,iteration_0_compression_rate,0.02447980416156671,0,Iteration 1
2024-II-2,2,backtracking,iteration_0_compression_rate,0.03614947197400487,0,Iteration 1
2024-II-3,2,backtracking,iteration_0_compression_rate,0.08631756756756757,0,Iteration 1
2024-II-4,2,backtracking,iteration_0_compression_rate,0.1596404215747055,0,Iteration 1
2024-II-5,2,backtracking,iteration_0_compression_rate,0.02438128809576265,0,Iteration 1
2024-II-6,2,backtracking,iteration_0_compression_rate,0.07424714434060228,0,Iteration 1
2024-II-7,2,backtracking,iteration_0_compression_rate,0.0352547931382442,0,Iteration 1
2024-II-8,2,backtracking,iteration_0_compression_rate,0.014483749466081622,0,Iteration 1
2024-II-9,2,backtracking,iteration_0_compression_rate,0.023977759759064056,0,Iteration 1
21,2,backtracking,iteration_0_compression_rate,0.04339730736178745,0,Iteration 1
22,2,backtracking,iteration_0_compression_rate,0.044863890733187896,0,Iteration 1
23,2,backtracking,iteration_0_compression_rate,0.11631336405529955,0,Iteration 1
24,2,backtracking,iteration_0_compression_rate,0.028345250255362615,0,Iteration 1
25,2,backtracking,iteration_0_compression_rate,0.033436688175647364,0,Iteration 1
26,2,backtracking,iteration_0_compression_rate,0.049661105318039626,0,Iteration 1
27,2,backtracking,iteration_0_compression_rate,0.022014866360904634,0,Iteration 1
28,2,backtracking,iteration_0_compression_rate,0.052665136444784495,0,Iteration 1
29,2,backtracking,iteration_0_compression_rate,0.021134202183867558,0,Iteration 1
3,2,backtracking,iteration_0_compression_rate,0.1431022649279341,0,Iteration 1
4,2,backtracking,iteration_0_compression_rate,0.03754089891510246,0,Iteration 1
5,2,backtracking,iteration_0_compression_rate,0.03991446899501069,0,Iteration 1
6,2,backtracking,iteration_0_compression_rate,0.1030071440438611,0,Iteration 1
7,2,backtracking,iteration_0_compression_rate,0.019006902235500153,0,Iteration 1
8,2,backtracking,iteration_0_compression_rate,0.13024408848207475,0,Iteration 1
9,2,backtracking,iteration_0_compression_rate,0.027787426189649182,0,Iteration 1
0,3,backtracking,iteration_0_compression_rate,0.0816712156204073,0,Iteration 1
1,3,backtracking,iteration_0_compression_rate,0.18832781456953643,0,Iteration 1
10,3,backtracking,iteration_0_compression_rate,0.02350233628565451,0,Iteration 1
11,3,backtracking,iteration_0_compression_rate,0.059092094964779546,0,Iteration 1
12,3,backtracking,iteration_0_compression_rate,0.0175,0,Iteration 1
13,3,backtracking,iteration_0_compression_rate,0.03328692570560689,0,Iteration 1
14,3,backtracking,iteration_0_compression_rate,0.014174954969065706,0,Iteration 1
15,3,backtracking,iteration_0_compression_rate,0.1110233109442908,0,Iteration 1
16,3,backtracking,iteration_0_compression_rate,0.1189346953666545,0,Iteration 1
17,3,backtracking,iteration_0_compression_rate,0.03470394736842105,0,Iteration 1
18,3,backtracking,iteration_0_compression_rate,0.1,0,Iteration 1
19,3,backtracking,iteration_0_compression_rate,0.035342894039284985,0,Iteration 1
2,3,backtracking,iteration_0_compression_rate,0.015013404825737266,0,Iteration 1
20,3,backtracking,iteration_0_compression_rate,0.07349698662354844,0,Iteration 1
2024-I-1,3,backtracking,iteration_0_compression_rate,0.08675675675675676,0,Iteration 1
2024-I-10,3,backtracking,iteration_0_compression_rate,0.02585071350164654,0,Iteration 1
2024-I-11,3,backtracking,iteration_0_compression_rate,0.02019335019877123,0,Iteration 1
2024-I-12,3,backtracking,iteration_0_compression_rate,0.029929810621109786,0,Iteration 1
2024-I-13,3,backtracking,iteration_0_compression_rate,0.055381517117923475,0,Iteration 1
2024-I-14,3,backtracking,iteration_0_compression_rate,0.0884938074310827,0,Iteration 1
2024-I-15,3,backtracking,iteration_0_compression_rate,0.03689806128830519,0,Iteration 1
2024-I-2,3,backtracking,iteration_0_compression_rate,0.05316538524456077,0,Iteration 1
