experiment_type,iteration_display_label,avg_compression_rate,sem_compression_rate
backtracking,Iteration 1,0.056051631681791746,0.003047211190062684
backtracking,Iteration 2,0.07534507628959616,0.0038057560955096804
backtracking,Iteration 3,0.0825728820551978,0.004092710040949251
backtracking,Iteration 4,0.09146194972832596,0.004532273898457619
base_sum,Iteration 1,0.05358037543187937,0.006363855305443314
base_sum,Iteration 2,0.0701628884404712,0.0035809684124180883
base_sum,Iteration 3,0.07857790925007477,0.003860872959915527
base_sum,Iteration 4,0.08091636217095069,0.004085760103254114
postThink,Iteration 1,0.0726986095864434,0.004067225305814203
postThink,Iteration 2,0.07636038865058711,0.0051147797941277365
postThink,Iteration 3,0.08378201754834434,0.0054166165554704
postThink,Iteration 4,0.09753965583663603,0.005994438737145678
