experiment_type,iteration_display_label,avg_compression_rate,sem_compression_rate
backtracking,Iteration 1,0.05598529064548382,0.002750047414339548
backtracking,Iteration 2,0.07534507628959616,0.0038057560955096804
backtracking,Iteration 3,0.0825728820551978,0.004092710040949251
backtracking,Iteration 4,0.09146194972832596,0.004532273898457619
base_sum,Iteration 1,0.05337915803912026,0.002893788213717436
base_sum,Iteration 2,0.0701628884404712,0.0035809684124180883
base_sum,Iteration 3,0.07857790925007477,0.003860872959915527
base_sum,Iteration 4,0.08091636217095069,0.004085760103254114
